"","YEAR","ENTITY_CD","ENTITY_NAME","ASSESSMENT_NAME","SUBGROUP_NAME","TOTAL_COUNT","NOT_TESTED","PCT_NOT_TESTED","NUM_TESTED","PER_PROF","SEASON","COUNTY_DESC","ENTITY_TYPE","Prof_Count","NotProf_Count","Prof_Pct","NotProf_Pct","NotTested_Pct"
"1",2023,"000001000000","ALL Albany Districts","ELA7","All Students",2950,403,14,2547,"43","Spring","ALBANY","COUNTY",1099,1448,37.2542372881356,49.0847457627119,13.6610169491525
"2",2023,"000001000000","ALL Albany Districts","ELA8","All Students",3077,534,17,2543,"51","Spring","ALBANY","COUNTY",1286,1257,41.7939551511212,40.8514787130322,17.3545661358466
"3",2023,"000001000000","ALL Albany Districts","ELA4","All Students",2964,230,8,2734,"46","Spring","ALBANY","COUNTY",1262,1472,42.5775978407557,49.6626180836707,7.75978407557355
"4",2023,"000001000000","ALL Albany Districts","ELA6","All Students",3025,287,9,2738,"44","Spring","ALBANY","COUNTY",1200,1538,39.6694214876033,50.8429752066116,9.48760330578512
"5",2023,"000001000000","ALL Albany Districts","ELA3_8","All Students",18141,1891,10,16250,"44","Spring","ALBANY","COUNTY",7227,9023,39.8379361666942,49.7381621740808,10.423901659225
"6",2023,"000001000000","ALL Albany Districts","ELA3","All Students",3051,202,7,2849,"42","Spring","ALBANY","COUNTY",1207,1642,39.5607997377909,53.8184201901016,6.62078007210751
"7",2023,"000001000000","ALL Albany Districts","ELA5","All Students",3074,235,8,2839,"41","Spring","ALBANY","COUNTY",1173,1666,38.1587508132726,54.1964866623292,7.64476252439818
"8",2023,"000001000000","ALL Albany Districts","ELA7","Economically Disadvantaged",1378,212,15,1166,"28","Spring","ALBANY","COUNTY",325,841,23.5849056603774,61.0304789550073,15.3846153846154
"9",2023,"000001000000","ALL Albany Districts","ELA8","Economically Disadvantaged",1384,284,21,1100,"33","Spring","ALBANY","COUNTY",359,741,25.9393063583815,53.5404624277457,20.5202312138728
"10",2023,"000001000000","ALL Albany Districts","ELA4","Economically Disadvantaged",1389,129,9,1260,"29","Spring","ALBANY","COUNTY",369,891,26.5658747300216,64.14686825054,9.28725701943845
"11",2023,"000001000000","ALL Albany Districts","ELA6","Economically Disadvantaged",1415,144,10,1271,"27","Spring","ALBANY","COUNTY",339,932,23.9575971731449,65.8657243816254,10.1766784452297
"12",2023,"000001000000","ALL Albany Districts","ELA3","Economically Disadvantaged",1441,126,9,1315,"26","Spring","ALBANY","COUNTY",344,971,23.8723108952117,67.3837612768911,8.74392782789729
"13",2023,"000001000000","ALL Albany Districts","ELA5","Economically Disadvantaged",1456,136,9,1320,"25","Spring","ALBANY","COUNTY",328,992,22.5274725274725,68.1318681318681,9.34065934065934
"14",2023,"000001000000","ALL Albany Districts","ELA7","General Education Students",2517,286,11,2231,"48","Spring","ALBANY","COUNTY",1078,1153,42.8287644020659,45.808502185141,11.362733412793
"15",2023,"000001000000","ALL Albany Districts","ELA8","General Education Students",2611,369,14,2242,"56","Spring","ALBANY","COUNTY",1262,980,48.3339716583684,37.5335120643432,14.1325162772884
