"REPORT_YEAR","DISTRICT_CD","DISTRICT_NAME","NONPUB_BEDS","NONPUB_NAME","N_DRT_PK","N_DRT_K_6","N_DRT_7_12","91_240_N_DRT_K12"
"2020-21","010100","ALBANY","010100115665","BLESSED SACRAMENT SCHOOL",11,56,27,83
"2020-21","010100","ALBANY","010100115671","MATER  CHRISTI SCHOOL",8,97,32,129
"2020-21","010100","ALBANY","010100115684","ALL SAINTS' CATHOLIC ACADEMY",11,79,23,102
"2020-21","010100","ALBANY","010100115724","ACADEMY OF HOLY NAMES-UPPER SCHOOL",0,0,32,32
"2020-21","010100","ALBANY","010100118044","BISHOP MAGINN HIGH SCHOOL",0,0,94,94
"2020-21","010100","ALBANY","010100208496","MAIMONIDES HEBREW DAY SCHOOL",3,21,14,35
"2020-21","010100","ALBANY","010100216559","HEBREW ACADEMY-CAPITAL DISTRICT",0,22,6,28
"2020-21","010100","ALBANY","010100996179","CASTLE ISLAND BILINGUAL MONTESSORI",4,6,0,6
"2020-21","010100","ALBANY","010100996428","ALBANY ACADEMIES (THE)",5,40,104,144
"2020-21","010100","ALBANY","010100997616","FREE SCHOOL",2,3,5,8
"2020-21","010100","ALBANY","010306115761","ST THOMAS THE APOSTLE SCHOOL",2,6,3,9
"2020-21","010100","ALBANY","010306809859","MT MORIAH ACADEMY",0,4,7,11
"2020-21","010100","ALBANY","010306999575","BETHLEHEM CHILDRENS SCHOOL",0,5,0,5
"2020-21","010100","ALBANY","010601115674","CHRISTIAN BROTHERS ACADEMY",0,4,43,47
"2020-21","010100","ALBANY","010601315801","OUR SAVIOR'S LUTHERAN SCHOOL",1,6,2,8
"2020-21","010100","ALBANY","010601629639","AN NUR ISLAMIC SCHOOL",0,11,7,18
"2020-21","010100","ALBANY","010623115655","ST AMBROSE SCHOOL",0,1,0,1
"2020-21","010100","ALBANY","010623115753","ST PIUS X SCHOOL",2,22,7,29
"2020-21","010100","ALBANY","010623116561","SAINT GREGORY'S SCHOOL",0,5,1,6
"2020-21","010100","ALBANY","010623806562","LOUDONVILLE CHRISTIAN SCHOOL",0,4,10,14
"2020-21","010100","ALBANY","051901425832","UNION SPRINGS ACADEMY",0,0,1,1
"2020-21","010100","ALBANY","101601996549","DARROW SCHOOL",0,0,1,1
"2020-21","010100","ALBANY","310300145456","XAVIER HIGH SCHOOL",0,0,1,1
"2020-21","010100","ALBANY","490301999028","WOODLAND HILL MONTESSORI SCHOOL",7,23,0,23
"2020-21","010100","ALBANY","490601115672","CATHOLIC CENTRAL HIGH SCHOOL",0,0,9,9
"2020-21","010100","ALBANY","490801116667","LA SALLE INSTITUTE",0,2,15,17
"2020-21","010100","ALBANY","491200995972","DOANE STUART SCHOOL (THE)",0,5,28,33
"2020-21","010100","ALBANY","491302999322","ROBERT C PARKER SCHOOL",0,12,8,20
"2020-21","010100","ALBANY","491700997083","EMMA WILLARD SCHOOL",0,0,13,13
"2020-21","010100","ALBANY","491700999668","SUSAN ODELL TAYLOR SCHOOL (THE)",0,2,1,3
"2020-21","010100","ALBANY","521800999102","WALDORF SCHOOL-SARATOGA SPRINGS",0,0,1,1
"2020-21","010100","ALBANY","530301995716","RIVERRUN COMMUNITY MONTESSORI",0,4,0,4
"2020-21","010100","ALBANY","530600115681","NOTRE DAME-BISHOP GIBBONS SCHOOL",0,1,16,17
"2020-21","010100","ALBANY","530600996315","BRIGHT HOPE ACADEMY CENTER",0,0,1,1
"2020-21","010100","ALBANY","530600999304","BROWN SCHOOL",0,0,1,1
"2020-21","010201","BERNE KNOX","010100115665","BLESSED SACRAMENT SCHOOL",0,2,0,2
"2020-21","010201","BERNE KNOX","010100115684","ALL SAINTS' CATHOLIC ACADEMY",0,1,0,1
"2020-21","010201","BERNE KNOX","010100115724","ACADEMY OF HOLY NAMES-UPPER SCHOOL",0,0,1,1
"2020-21","010201","BERNE KNOX","010100996428","ALBANY ACADEMIES (THE)",0,1,2,3
"2020-21","010201","BERNE KNOX","010201805052","HELDERBERG CHRISTIAN SCHOOL",0,7,11,18
"2020-21","010201","BERNE KNOX","010306115761","ST THOMAS THE APOSTLE SCHOOL",0,0,1,1
"2020-21","010201","BERNE KNOX","010802115707","ST MADELEINE SOPHIE SCHOOL",1,1,0,1
