"ENTITY_CD","ENTITY_NAME","YEAR","PK12 Enrollment","SWD Enrollment","Special Education Expenditures","Special Education Expenditures/Pupil","Total Expenditures","General Education Expenditures","General Education Expenditures/Pupil"
"010100010000","ALBANY CITY SCHOOL DISTRICT","2018-19",9807,1299,28633361,22042.6181678214,203504282,174870921,17831.2349342307
"010100010000","ALBANY CITY SCHOOL DISTRICT","2019-20",8666,1330,31889730,23977.2406015038,193968075,162078345,18702.7861758597
"010100010000","ALBANY CITY SCHOOL DISTRICT","2020-21",8266,1269,29813497,23493.6934594169,180421080,150607583,18220.1285990806
"010100010000","ALBANY CITY SCHOOL DISTRICT","2021-22",8043,1265,26693249,21101.3826086957,212853645,186160396,23145.6416759915
"010100010000","ALBANY CITY SD","2022-23",7948,1245,27074056,21746.2297188755,226413247,199339191,25080.4216155008
"010100010000","ALBANY CITY SCHOOL DISTRICT","2023-24",8722,1282,38246296,29833.3042121685,296987516,258741220,29665.3542765421
"010100010000","ALBANY CITY SD","2024-25",8493,1346,34678007.7,25763.7501485884,266222681.31,231544673.61,27263.0017202402
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2018-19",755,105,2050462,19528.2095238095,15564119,13513657,17898.8834437086
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2019-20",752,102,1868765.38,18321.2292156863,18213767.78,16345002.4,21735.3755319149
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2020-21",700,103,1603798,15570.854368932,17699138,16095340,22993.3428571429
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2021-22",705,110,1728046,15709.5090909091,19801485,18073439,25636.0836879433
"010201040000","BERNE-KNOX-WESTERLO CSD","2022-23",691,108,1957132,18121.5925925926,20076038,18118906,26221.2821997106
"010201040000","BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT","2023-24",712,115,3006973.65,26147.5969565217,22568484,19561510.35,27474.0313904494
