"ENTITY_CD","ENTITY_NAME","YEAR","PK12_Enrollment","SWD_Enrollment","Special_Education_Expenditures","Special_Education_Expenditures_PerSWD","Total_Expenditures","General_Education_Expenditures","General_Education_Expenditures_PerPupil","Special_Education_Expenditures_PerPupil"
"010100010000","ALBANY CITY SD",2019,9807,1299,28633361,22042.6181678214,203504282,174870921,17831.2349342307,2919.68604058326
"010100010000","ALBANY CITY SD",2020,8666,1330,31889730,23977.2406015038,193968075,162078345,18702.7861758597,3679.86729748442
"010100010000","ALBANY CITY SD",2021,8266,1269,29813497,23493.6934594169,180421080,150607583,18220.1285990806,3606.76227921607
"010100010000","ALBANY CITY SD",2022,8043,1265,26693249,21101.3826086957,212853645,186160396,23145.6416759915,3318.81748103941
"010100010000","ALBANY CITY SD",2023,7948,1245,27074056,21746.2297188755,226413247,199339191,25080.4216155008,3406.39859084046
"010100010000","ALBANY CITY SD",2024,8722,1282,38246296,29833.3042121685,296987516,258741220,29665.3542765421,4385.03737674845
"010100010000","ALBANY CITY SD",2025,8493,1346,34678007.7,25763.7501485884,266222681.31,231544673.61,27263.0017202402,4083.12818791946
"010201040000","BERNE-KNOX-WESTERLO CSD",2019,755,105,2050462,19528.2095238095,15564119,13513657,17898.8834437086,2715.84370860927
"010201040000","BERNE-KNOX-WESTERLO CSD",2020,752,102,1868765.38,18321.2292156863,18213767.78,16345002.4,21735.3755319149,2485.06034574468
"010201040000","BERNE-KNOX-WESTERLO CSD",2021,700,103,1603798,15570.854368932,17699138,16095340,22993.3428571429,2291.14
"010201040000","BERNE-KNOX-WESTERLO CSD",2022,705,110,1728046,15709.5090909091,19801485,18073439,25636.0836879433,2451.12907801418
"010201040000","BERNE-KNOX-WESTERLO CSD",2023,691,108,1957132,18121.5925925926,20076038,18118906,26221.2821997106,2832.31837916064
"010201040000","BERNE-KNOX-WESTERLO CSD",2024,712,115,3006973.65,26147.5969565217,22568484,19561510.35,27474.0313904494,4223.27759831461
"010201040000","BERNE-KNOX-WESTERLO CSD",2025,675,112,2959208.25,26421.5022321429,21699264.73,18740056.48,27763.046637037,4384.01222222222
"010306060000","BETHLEHEM CSD",2019,4440,596,9942436,16681.9395973154,73986519,64044083,14424.343018018,2239.28738738739
"010306060000","BETHLEHEM CSD",2020,4336,580,10343503,17833.625862069,74516606,64173103,14800.0698800738,2385.49423431734
"010306060000","BETHLEHEM CSD",2021,4203,523,10743509,20542.0822179732,76148364,65404855,15561.4691886748,2556.15251011182
"010306060000","BETHLEHEM CSD",2022,4151,480,10631472,22148.9,78749443,68117971,16410.0146952542,2561.18332931824
"010306060000","BETHLEHEM CSD",2023,4070,442,15820460,35792.8959276018,85942751,70122291,17229.0641277641,3887.09090909091
"010306060000","BETHLEHEM CSD",2024,4092,427,36406348,85260.7681498829,97023974,60617626,14813.6915933529,8896.95698924731
"010306060000","BETHLEHEM CSD",2025,4075,436,15871170.47,36401.7671330275,100831922.45,84960751.98,20849.2642895706,3894.7657595092
"010402060000","RAVENA-COEYMANS-SELKIRK CSD",2019,1875,319,3683391.88,11546.6830094044,35540727.27,31857335.39,16990.5788746667,1964.47566933333
