ENTITY_CD	ENTITY_NAME	YEAR	PK12_Enrollment	SWD_Enrollment	Special_Education_Expenditures	Special_Education_Expenditures_PerSWD	Total_Expenditures	General_Education_Expenditures	General_Education_Expenditures_PerPupil	Special_Education_Expenditures_PerPupil
10100010000	ALBANY CITY SD	2019	9807	1299	28633361	22042.61817	203504282	174870921	17831.23493	2919.686041
10100010000	ALBANY CITY SD	2020	8666	1330	31889730	23977.2406	193968075	162078345	18702.78618	3679.867297
10100010000	ALBANY CITY SD	2021	8266	1269	29813497	23493.69346	180421080	150607583	18220.1286	3606.762279
10100010000	ALBANY CITY SD	2022	8043	1265	26693249	21101.38261	212853645	186160396	23145.64168	3318.817481
10100010000	ALBANY CITY SD	2023	7948	1245	27074056	21746.22972	226413247	199339191	25080.42162	3406.398591
10100010000	ALBANY CITY SD	2024	8722	1282	38246296	29833.30421	296987516	258741220	29665.35428	4385.037377
10100010000	ALBANY CITY SD	2025	8493	1346	34678007.7	25763.75015	266222681.3	231544673.6	27263.00172	4083.128188
10201040000	BERNE-KNOX-WESTERLO CSD	2019	755	105	2050462	19528.20952	15564119	13513657	17898.88344	2715.843709
10201040000	BERNE-KNOX-WESTERLO CSD	2020	752	102	1868765.38	18321.22922	18213767.78	16345002.4	21735.37553	2485.060346
10201040000	BERNE-KNOX-WESTERLO CSD	2021	700	103	1603798	15570.85437	17699138	16095340	22993.34286	2291.14
10201040000	BERNE-KNOX-WESTERLO CSD	2022	705	110	1728046	15709.50909	19801485	18073439	25636.08369	2451.129078
10201040000	BERNE-KNOX-WESTERLO CSD	2023	691	108	1957132	18121.59259	20076038	18118906	26221.2822	2832.318379
10201040000	BERNE-KNOX-WESTERLO CSD	2024	712	115	3006973.65	26147.59696	22568484	19561510.35	27474.03139	4223.277598
10201040000	BERNE-KNOX-WESTERLO CSD	2025	675	112	2959208.25	26421.50223	21699264.73	18740056.48	27763.04664	4384.012222
10306060000	BETHLEHEM CSD	2019	4440	596	9942436	16681.9396	73986519	64044083	14424.34302	2239.287387
10306060000	BETHLEHEM CSD	2020	4336	580	10343503	17833.62586	74516606	64173103	14800.06988	2385.494234
10306060000	BETHLEHEM CSD	2021	4203	523	10743509	20542.08222	76148364	65404855	15561.46919	2556.15251
10306060000	BETHLEHEM CSD	2022	4151	480	10631472	22148.9	78749443	68117971	16410.0147	2561.183329
10306060000	BETHLEHEM CSD	2023	4070	442	15820460	35792.89593	85942751	70122291	17229.06413	3887.090909
10306060000	BETHLEHEM CSD	2024	4092	427	36406348	85260.76815	97023974	60617626	14813.69159	8896.956989
10306060000	BETHLEHEM CSD	2025	4075	436	15871170.47	36401.76713	100831922.5	84960751.98	20849.26429	3894.76576
10402060000	RAVENA-COEYMANS-SELKIRK CSD	2019	1875	319	3683391.88	11546.68301	35540727.27	31857335.39	16990.57887	1964.475669
10402060000	RAVENA-COEYMANS-SELKIRK CSD	2020	1839	330	5381555.85	16307.745	34662630.56	29281074.71	15922.28097	2926.349021
10402060000	RAVENA-COEYMANS-SELKIRK CSD	2021	1783	297	5601899.54	18861.61461	36266736.28	30664836.74	17198.45022	3141.839338
10402060000	RAVENA-COEYMANS-SELKIRK CSD	2022	1796	311	5637721	18127.72026	38005321	32367600	18022.049	3139.042873
10402060000	RAVENA-COEYMANS-SELKIRK CSD	2023	1795	310	5438530.41	17543.64648	41687941.97	36249411.56	20194.65825	3029.821955
10402060000	RAVENA-COEYMANS-SELKIRK CSD	2024	1773	337	6427339.25	19072.22329	48504116.43	42076777.18	23731.96682	3625.12084
10402060000	RAVENA-COEYMANS-SELKIRK CSD	2025	1724	347	6739728.64	19422.84911	50047582.69	43307854.05	25120.56499	3909.35536
10500010000	COHOES CITY SD	2019	2019	338	3995864	11822.08284	33242287	29246423	14485.59832	1979.130263
10500010000	COHOES CITY SD	2020	1873	334	4524424	13546.17964	33283550	28759126	15354.57875	2415.602776
10500010000	COHOES CITY SD	2021	1823	347	3954652	11396.69164	31631419	27676767	15181.98958	2169.309929
10500010000	COHOES CITY SD	2022	1816	363	4539210	12504.71074	32880949	28341739	15606.68447	2499.564978
10500010000	COHOES CITY SD	2023	1837	364	4763609	13086.83791	35382043	30618434	16667.62874	2593.14589
10500010000	COHOES CITY SD	2024	2036	383	9680133	25274.49869	47638168	37958035	18643.43566	4754.485756
10500010000	COHOES CITY SD	2025	1842	368	9735533	26455.25272	50101656	40366123	21914.29045	5285.305646
10601060000	SOUTH COLONIE CSD	2019	4780	683	13663031	20004.43777	87270864	73607833	15399.12824	2858.374686
10601060000	SOUTH COLONIE CSD	2020	4813	736	14272395	19391.84103	89625184	75352789	15656.09578	2965.384376
10601060000	SOUTH COLONIE CSD	2021	4754	714	14838607	20782.36275	89563577	74724970	15718.33614	3121.288809
10601060000	SOUTH COLONIE CSD	2022	4796	715	14531298	20323.49371	93833219	79301921	16535.01272	3029.878649
10601060000	SOUTH COLONIE CSD	2023	4888	738	15159391	20541.18022	101572577.4	86413186.39	17678.63879	3101.348404
10601060000	SOUTH COLONIE CSD	2024	4963	741	20652638.68	27871.30726	117732589.2	97079950.5	19560.73957	4161.321515
10601060000	SOUTH COLONIE CSD	2025	5038	737	22486276.63	30510.55174	125108216.3	102621939.7	20369.57914	4463.333988
10615020000	MENANDS UFSD 	2019	296	46	610846	13279.26087	5205964	4595118	15524.0473	2063.668919
10615020000	MENANDS UFSD 	2020	305	47	731628	15566.55319	5231426.83	4499798.83	14753.43879	2398.780328
10615020000	MENANDS UFSD 	2021	307	40	619135	15478.375	5563541.14	4944406.14	16105.55746	2016.726384
10615020000	MENANDS UFSD 	2022	305	44	714946	16248.77273	6487021	5772075	18924.83607	2344.085246
10615020000	MENANDS UFSD	2023	277	42	741059	17644.2619	7347943	6606884	23851.56679	2675.303249
10615020000	MENANDS UFSD 	2024	275	36	1206876.94	33524.35944	8337592.42	7130715.48	25929.87447	4388.643418
10615020000	MENANDS UFSD	2025	282	49	1735210.76	35412.46449	9326590.86	7591380.1	26919.78759	6153.229645
10623060000	NORTH COLONIE CSD	2019	5831	802	12642008	15763.10224	96253399	83611391	14339.11696	2168.068599
10623060000	NORTH COLONIE CSD	2020	5887	817	12756901	15614.32191	96418926	83662025	14211.31731	2166.961271
10623060000	NORTH COLONIE CSD	2021	5905	848	12929171	15246.66392	97163709.76	84234538.76	14264.95153	2189.529382
10623060000	NORTH COLONIE CSD	2022	6006	871	13575456	15586.05741	107194202	93618746	15587.5368	2260.315684
10623060000	NORTH COLONIE CSD	2023	6022	882	15024594	17034.68707	112189043	97164449	16134.91348	2494.950847
10623060000	NORTH COLONIE CSD	2024	6212	873	18044089	20669.05956	132854197	114810108	18481.98777	2904.714907
10623060000	NORTH COLONIE CSD	2025	6144	888	19162343	21579.21509	139658681	120496338	19612.03418	3118.870931
10701030000	GREEN ISLAND UFSD 	2019	284	56	691519	12348.55357	5754894.82	5063375.82	17828.7881	2434.926056
10701030000	GREEN ISLAND UFSD 	2020	263	57	838443	14709.52632	6177101.5	5338658.5	20299.08175	3187.996198
10701030000	GREEN ISLAND UFSD 	2021	241	50	767997.2	15359.944	5858347.46	5090350.26	21121.78531	3186.710373
10701030000	GREEN ISLAND UFSD 	2022	282	58	805989	13896.36207	7074233	6268244	22227.8156	2858.117021
10701030000	GREEN ISLAND UFSD	2023	271	52	839998	16153.80769	7767377	6927379	25562.28413	3099.623616
10701030000	GREEN ISLAND UFSD 	2024	249	49	1293085	26389.4898	8903938	7610853	30565.6747	5193.11245
10701030000	GREEN ISLAND UFSD	2025	223	43	1145256.36	26633.86884	8079910	6934653.64	31097.10152	5135.678744
10802060000	GUILDERLAND CSD	2019	4807	631	8164448	12938.90333	85475423	77310975	16082.99875	1698.449761
10802060000	GUILDERLAND CSD	2020	4841	605	13120971	21687.55537	85656470	72535499	14983.57757	2710.384425
10802060000	GUILDERLAND CSD	2021	4811	609	13094701	21501.97209	86345634	73250933	15225.71877	2721.825192
10802060000	GUILDERLAND CSD	2022	4828	598	13544305	22649.33946	91138355	77594050	16071.67564	2805.365576
10802060000	GUILDERLAND CSD	2023	4853	615	9610805	15627.3252	96129903	86519098	17827.96167	1980.384298
10802060000	GUILDERLAND CSD	2024	4929	600	14328581	23880.96833	114640403	100311822	20351.35362	2906.995537
10802060000	GUILDERLAND CSD	2025	4821	621	15443172	24868.23188	113657474	98214302	20372.18461	3203.313006
11003060000	VOORHEESVILLE CSD	2019	1160	131	1515111.05	11565.73321	23048210.97	21533099.92	18563.01717	1306.130216
11003060000	VOORHEESVILLE CSD	2020	1180	132	2292245	17365.49242	20711954.01	18419709.01	15609.92289	1942.580508
11003060000	VOORHEESVILLE CSD	2021	1179	128	3109654	24294.17188	21970454	18860800	15997.28584	2637.535199
11003060000	VOORHEESVILLE CSD	2022	1204	129	2898848	22471.68992	26627876	23729028	19708.49502	2407.681063
11003060000	VOORHEESVILLE CSD	2023	1232	138	2658951	19267.76087	25234477	22575526	18324.29058	2158.239448
11003060000	VOORHEESVILLE CSD	2024	1223	136	3639314	26759.66176	28526641	24887327	20349.40883	2975.726901
11003060000	VOORHEESVILLE CSD	2025	1215	139	4079877.07	29351.6336	29952968.71	25873091.64	21294.72563	3357.923514
11200010000	WATERVLIET CITY SD	2019	1342	174	275386	1582.678161	17267531	16992145	12661.807	205.2056632
11200010000	WATERVLIET CITY SD	2020	1296	193	5035641	26091.40415	17771901	12736260	9827.361111	3885.525463
11200010000	WATERVLIET CITY SD	2021	1334	207	5392474	26050.59903	17800466	12407992	9301.343328	4042.334333
11200010000	WATERVLIET CITY SD	2022	1303	221	6000856	27153.19457	20289505	14288649	10965.96239	4605.415196
11200010000	WATERVLIET CITY SD	2023	1344	213	6023653	28280.06103	22541067	16517414	12289.74256	4481.884673
11200010000	WATERVLIET CITY SD	2024	1477	248	5548316	22372.24194	36025758	30477442	20634.6933	3756.476642
11200010000	WATERVLIET CITY SD	2025	1447	238	6134712	25776.10084	36072305	29937593	20689.42156	4239.607464
20101040000	ALFRED-ALMOND CSD	2019	622	86	1579090	18361.51163	11450273.88	9871183.88	15870.07055	2538.729904
20101040000	ALFRED-ALMOND CSD	2020	619	76	1095353	14412.53947	11427456	10332103	16691.6042	1769.552504
20101040000	ALFRED-ALMOND CSD	2021	575	69	1090204	15800.05797	11180248	10090044	17547.90261	1896.006957
20101040000	ALFRED-ALMOND CSD	2022	576	77	768332	9978.337662	11694286	10925954	18968.67014	1333.909722
20101040000	ALFRED-ALMOND CSD	2023	551	85	838440.74	9864.008706	13255508.1	12417067.36	22535.51245	1521.671034
20101040000	ALFRED-ALMOND CSD	2024	510	80	2018626.14	25232.82675	14291229.78	12272603.64	24063.92871	3958.090471
20101040000	ALFRED-ALMOND CSD	2025	489	70	2151704.87	30738.641	15340992.96	13189288.09	26971.95928	4400.214458
20601040000	ANDOVER CSD	2019	302	55	577460	10499.27273	7580320	7002860	23188.27815	1912.119205
20601040000	ANDOVER CSD	2020	294	47	862110	18342.76596	7137611	6275501	21345.2415	2932.346939
20601040000	ANDOVER CSD	2021	258	44	1453222	33027.77273	7119291	5666069	21961.50775	5632.643411
20601040000	ANDOVER CSD	2022	268	45	875133	19447.4	7769252	6894119	25724.32463	3265.421642
20601040000	ANDOVER CSD	2023	249	39	661392	16958.76923	8815409	8154017	32747.05622	2656.192771
20601040000	ANDOVER CSD	2024	255	41	1509142	36808.34146	9168531	7659389	30036.81961	5918.203922
20601040000	ANDOVER CSD	2025	240	39	1518471	38935.15385	9267195	7748724	32286.35	6326.9625
20702040000	GENESEE VALLEY CSD	2019	506	78	1345156	17245.58974	12690344	11345188	22421.32016	2658.411067
20702040000	GENESEE VALLEY CSD	2020	536	96	1587247.64	16533.82958	12862393.07	11275145.43	21035.71909	2961.28291
20702040000	GENESEE VALLEY CSD	2021	525	85	1608497	18923.49412	13115818	11507321	21918.70667	3063.80381
20702040000	GENESEE VALLEY CSD	2022	528	87	2035783	23399.8046	14588630	12552847	23774.33144	3855.649621
20702040000	GENESEE VALLEY CSD	2023	547	93	2021100	21732.25806	15475445	13454345	24596.60878	3694.88117
20702040000	GENESEE VALLEY CSD	2024	544	114	2267426.67	19889.70763	16958033.37	14690606.7	27004.79173	4168.063732
20702040000	GENESEE VALLEY CSD	2025	591	140	2939162.89	20994.02064	17424802.5	14485639.61	24510.38851	4973.20286
20801040000	BELFAST CSD	2019	336	62	1062427	17135.91935	7846173	6783746	20189.72024	3161.985119
20801040000	BELFAST CSD	2020	343	68	1378752	20275.76471	7804459	6425707	18733.83965	4019.685131
20801040000	BELFAST CSD	2021	338	60	1237225	20620.41667	7591003	6353778	18798.15976	3660.428994
20801040000	BELFAST CSD	2022	332	60	1074656	17910.93333	8607973	7533317	22690.71386	3236.915663
20801040000	BELFAST CSD	2023	320	62	798093.34	12872.47323	9272706.96	8474613.62	26483.16756	2494.041688
20801040000	BELFAST CSD	2024	315	78	574781.31	7368.991154	11237799.77	10663018.46	33850.85225	1824.702571
20801040000	BELFAST CSD	2025	316	73	0	0	11293964.01	11293964.01	35740.39244	0
21102040000	CANASERAGA CSD	2019	238	31	926592	29890.06452	5410396	4483804	18839.51261	3893.243697
21102040000	CANASERAGA CSD	2020	215	32	379818.66	11869.33313	5202319.02	4822500.36	22430.23423	1766.598419
21102040000	CANASERAGA CSD	2021	197	20	894601.41	44730.0705	5475055.25	4580453.84	23251.03472	4541.123909
21102040000	CANASERAGA CSD	2022	208	29	293334	10114.96552	5674699	5381365	25871.94712	1410.259615
21102040000	CANASERAGA CSD	2023	200	30	572269.72	19075.65733	6241437.18	5669167.46	28345.8373	2861.3486
21102040000	CANASERAGA CSD	2024	210	38	536214.45	14110.90658	7299274.57	6763060.12	32205.04819	2553.402143
21102040000	CANASERAGA CSD	2025	203	46	421827.1	9170.154348	7288168	6866340.9	33824.33941	2077.96601
21601040000	FRIENDSHIP CSD	2019	314	58	3604482	62146.24138	2615142	-989340	-3150.764331	11479.24204
21601040000	FRIENDSHIP CSD	2020	319	63	3675488	58341.07937	9298994	5623506	17628.54545	11521.90596
21601040000	FRIENDSHIP CSD	2021	282	42	3859489	91892.59524	9308263	5448774	19321.89362	13686.13121
21601040000	FRIENDSHIP CSD	2022	276	36	4476323	124342.3056	10952140	6475817	23463.10507	16218.56159
21601040000	FRIENDSHIP CSD	2023	275	45	1747023	38822.73333	7402953	5655930	20567.01818	6352.810909
21601040000	FRIENDSHIP CSD	2024	265	52	1819822	34996.57692	10877746	9057924	34180.84528	6867.25283
21601040000	FRIENDSHIP CSD	2025	259	50	2213458	44269.16	8795722	6582264	25414.14672	8546.169884
22001040000	FILLMORE CSD	2019	682	79	2119257.03	26826.03835	11334864.02	9215606.99	13512.62022	3107.415
22001040000	FILLMORE CSD	2020	703	103	2229378.27	21644.44922	11430214.07	9200835.8	13087.95989	3171.235092
22001040000	FILLMORE CSD	2021	652	90	2127574.95	23639.72167	11543981.91	9416406.96	14442.34196	3263.151764
22001040000	FILLMORE CSD	2022	658	85	2304731	27114.48235	12222267	9917536	15072.24316	3502.630699
22001040000	FILLMORE CSD	2023	650	89	2259706.29	25389.95831	13175204.07	10915497.78	16793.07351	3476.471215
22001040000	FILLMORE CSD	2024	607	106	2003105.46	18897.22132	16276055.87	14272950.41	23513.9216	3300.008995
22001040000	FILLMORE CSD	2025	597	107	2283726.51	21343.23841	16756235.13	14472508.62	24242.05799	3825.337538
22101040000	WHITESVILLE CSD	2019	196	20	444508.17	22225.4085	4806931.23	4362423.06	22257.26051	2267.898827
22101040000	WHITESVILLE CSD	2020	187	24	323326.81	13471.95042	4812519.1	4489192.29	24006.37588	1729.020374
22101040000	WHITESVILLE CSD	2021	167	20	431315	21565.75	4217134	3785819	22669.57485	2582.724551
22101040000	WHITESVILLE CSD	2022	160	16	366834	22927.125	5076971	4710137	29438.35625	2292.7125
22101040000	WHITESVILLE CSD	2023	145	12	111343	9278.583333	5422687	5311344	36629.95862	767.8827586
22101040000	WHITESVILLE CSD	2024	129	19	411480	21656.84211	5272229	4860749	37680.22481	3189.767442
22101040000	WHITESVILLE CSD	2025	112	15	626290.74	41752.716	5196444.81	4570154.07	40804.94705	5591.881607
22302040000	CUBA-RUSHFORD CSD	2019	817	149	2363775.93	15864.26799	17113371.4	14749595.47	18053.36043	2893.238592
22302040000	CUBA-RUSHFORD CSD	2020	819	164	2358738.61	14382.5525	16294033.37	13935294.76	17015.01192	2880.022723
22302040000	CUBA-RUSHFORD CSD	2021	775	153	2342053.23	15307.53745	16405486.19	14063432.96	18146.36511	3022.004168
22302040000	CUBA-RUSHFORD CSD	2022	781	143	1482751	10368.88811	18880085	17397334	22275.71575	1898.528809
22302040000	CUBA-RUSHFORD CSD	2023	739	143	1581041.97	11056.23755	19532255.13	17951213.16	24291.22214	2139.43433
22302040000	CUBA-RUSHFORD CSD	2024	720	151	1862517.13	12334.55053	23456365.49	21593848.36	29991.45606	2586.829347
22302040000	CUBA-RUSHFORD CSD	2025	719	151	2223735.33	14726.72404	24814587.58	22590852.25	31419.82232	3092.816871
22401040000	SCIO CSD	2019	334	44	1146851	26064.79545	8280781	7133930	21359.07186	3433.685629
22401040000	SCIO CSD	2020	321	55	297824	5414.981818	8215877	7918053	24666.83178	927.8006231
22401040000	SCIO CSD	2021	300	64	346100	5407.8125	8228724	7882624	26275.41333	1153.666667
22401040000	SCIO CSD	2022	259	49	226992	4632.489796	8945447	8718455	33661.98842	876.4169884
22401040000	SCIO CSD	2023	265	48	388039	8084.145833	9628271	9240232	34868.8	1464.298113
22401040000	SCIO CSD	2024	281	41	471097.66	11490.18683	10396110.11	9925012.45	35320.329	1676.504128
22401040000	SCIO CSD	2025	268	42	1936326.57	46103.01357	11169899.12	9233572.55	34453.62892	7225.099142
22601060000	WELLSVILLE CSD	2019	1183	157	7636684.84	48641.30471	22235046.51	14598361.67	12340.11975	6455.354894
22601060000	WELLSVILLE CSD	2020	1125	181	2193950.96	12121.27602	21744044.2	19550093.24	17377.86066	1950.178631
22601060000	WELLSVILLE CSD	2021	1109	178	2590375.69	14552.67242	22338168.14	19747792.45	17806.84621	2335.776096
22601060000	WELLSVILLE CSD	2022	1121	197	2346278	11910.04061	23184235	20837957	18588.72168	2093.022302
22601060000	WELLSVILLE CSD	2023	1129	208	2191036	10533.82692	24615038	22424002	19861.8264	1940.687334
22601060000	WELLSVILLE CSD	2024	1167	227	14218649.33	62637.22172	33212376.06	18993726.73	16275.687	12183.93259
22601060000	WELLSVILLE CSD	2025	1141	235	13779565.01	58636.44685	33883951.84	20104386.83	17619.97093	12076.74409
22902040000	BOLIVAR-RICHBURG CSD	2019	752	105	3146574	29967.37143	16587973	13441399	17874.2008	4184.273936
22902040000	BOLIVAR-RICHBURG CSD	2020	741	104	2892193	27809.54808	16050263	13158070	17757.17949	3903.094467
22902040000	BOLIVAR-RICHBURG CSD	2021	686	84	2164275	25765.17857	15939212	13774937	20080.08309	3154.919825
22902040000	BOLIVAR-RICHBURG CSD	2022	699	93	1885524	20274.45161	15630070	13744546	19663.15594	2697.459227
22902040000	BOLIVAR-RICHBURG CSD	2023	704	110	2301747.91	20924.981	16629764.55	14328016.64	20352.29636	3269.528281
22902040000	BOLIVAR-RICHBURG CSD	2024	670	108	1291833.24	11961.41889	21061059.33	19769226.09	29506.3076	1928.109313
22902040000	BOLIVAR-RICHBURG CSD	2025	651	102	1351334	13248.37255	21715820.82	20364486.82	31281.85379	2075.781874
